id,business_name,category,service,contact_name,phone,email,website,address,notes,created_at,updated_at,computed_keywords,ckw_locked,ckw_version,ckw_manual_extra,keywords,ckw
1,"3 Day Blinds","Home Repair & Trades","Window Coverings","",8007001860,,https://www.3dayblinds.com/locations/tx/san-antonio,"","",,2025-10-30T22:27:51,"",,,,"",""
2,"7‑To‑7 Dental (Alamo Ranch)","Health Care",Dental,"",2105380777,,https://www.7to7dental.com,"11841 Alamo Ranch Pkwy Ste 106, San Antonio, Tx 78253","",,,"",,,,"",""
3,"A-Bear Pest Control","Landscaping Trees Lawn Services","Pest Control Exterminator","",2106503200,,https://abearpestcontrol.com/,"12702 Toepperwein Rd #233, Live Oak, Tx 78233","Prompt & Thorough",,,"",,,,"",""
4,"A1 Garage Door Service","Home Repair & Trades","Garage Doors",Joshua,2106605420,,https://a1garage.com/locations/tx/sanantonio/,"114 N Ellison Dr, Suite 406, San Antonio, Tx 78251","Army Vet, Great Service",,,"",,,,"",""
5,"Ads Plumbing, Llc","Home Repair & Trades",Plumbing,"Danny Stephens",2102876409,,"","101 County Rd 4511, Hondo, Tx 78861","",,,"",,,,"",""
6,Aj,"Landscaping Trees Lawn Services","Yard Cleanup Junk Removal",Aj,2109070399,,"","","",,,"",,,,"",""
7,"Akm Plumbing","Home Repair & Trades",Plumbing,"Adrian Moreno",8302121313,,"","","",,,"",,,,"",""
8,"Alamo Ranch Animal Hospital","Pet Care","Veterinary Clinic Animal Hospital","Dr. Shannon; Dr. Gaines",2105387484,,http://alamoranchvets.com/,"6820 Alamo Pkwy Ste 118, San Antonio, Tx 78253","",,,"",,,,"",""
9,"Alamo Ranch Family Dentistry","Health Care",Dental,"Dr. Sarah Tovar",2108982688,,https://www.alamoranchfamilydentistry.com,"11840 Alamo Ranch Pkwy Ste 90, San Antonio, Tx 78253","",,,"",,,,"",""
10,"Alamo Springs Dental","Health Care",Dental,"",2104639339,,https://www.alamospringsdental.com,"11590 Galm Rd Ste 109, San Antonio, Tx 78254","",,,"",,,,"",""
11,"Alamo Turf Works","Landscaping Trees Lawn Services","Weed & Feed","",2103712125,,https://alamoturfworks.com/,"2303 Abadeer Trl San Antonio, Tx 78253","Beautiful Results",,,"",,,,"",""
12,Albert,"Auto Services","Mobile Wash",Albert,2103921085,,"","","Amazing Job",,,"",,,,"",""
13,"All Star Electric","Home Repair & Trades",Electrician,"",2103910274,,https://www.allstarelectric-sa.com/,"5911 Rittiman Plaza Bldg 1, Sa","Military Discount",,,"",,,,"",""
14,"Always Green Synthetic Lawns","Landscaping Trees Lawn Services","Artificial Turf","",2104131034,,https://www.alwaysgreen-texas.com/,"22211 W I-10, Suite 1206, San Antonio, Tx 78257","",,,"",,,,"",""
15,"Atlas Flooring","Home Repair & Trades",Flooring,"",2104442039,,https://www.atlasfloors.com/,"10242 West Loop 1604 N San Antonio Tx","",,,"",,,,"",""
16,"Audionova Audiology","Health Care",Audiology,"Dr Rogers Johns",2106140100,,https://hearlifeagain.alpacaaudiology.com/meet-the-team/roger-johns/,"5282 Medical Drive ,Suite 150","Excellent Diagnostician",,,"",,,,"",""
17,"Bare Nature Tree Surgeons Llc","Landscaping Trees Lawn Services","Tree Removal","",2105404669,,https://www.barenaturetree.com/,"","Free Estimates 24/7",,,"",,,,"",""
18,"Barefoot Mosquito","Landscaping Trees Lawn Services","Pest Control Exterminator","",2109797378,,https://barefootmosquito.com/pest-control-san-antonio-tx/,"","",,,"",,,,"",""
19,"Barkin Beautiful","Pet Care","Mobile Grooming","Martina Martinez",2106061528,,https://www.barkinbeautiful.com/,"","",,,"",,,,"",""
20,"Bartlett Tree Experts","Landscaping Trees Lawn Services","Tree Removal","Luke Zinmeister",2016554670,,"https://www.bartlett.com/locations/San-Antonio-TX.cfm|13115LookoutRun,SanAntonio,TX78233","13115 Lookout Run, San Antonio, Tx 78233","Emergency Svc Avail",,,"",,,,"",""
21,"Blinded By Delight","Home Repair & Trades","Window Coverings","",2103365266,,https://www.blindedbydelight.com,"140 Heimer Rd, Ste 685, San Antonio, Tx 78232","",,,"",,,,"",""
22,"Blissful Pet Grooming","Pet Care","Pet Grooming",Cici,2105704891,,https://www.blissfulpetgrooming.com/,"","Also Plant Watering",,,"",,,,"",""
23,"Brian Totten","Professional Technical Services","Computer Repair","Brian Totten",5127675884,,"","","Hcr Resident",,,"",,,,"",""
24,"Brush County Curbs & Borders Llc","Landscaping Trees Lawn Services","Concrete Curbing Landscape Edging","Wayne Palk",9038509896,,https://www.brushcountrycurbs.com/,"110 Cimarron Park, Helotes, Tx 78023",Brushcountycurbs@Gmail.Com,,,"",,,,"",""
25,"Budget Blinds Of San Antonio","Home Repair & Trades","Window Coverings","",2104902272,,https://budgetblinds.com/northeastsanantonio/,"4553 N Loop 1604 W Ste 1127, San Antonio, Tx 78249","",,,"",,,,"",""
26,"Burgess Services","Landscaping Trees Lawn Services","Landscape Hardscape","",2109942239,,https://www.burgessservices210.com,"6923 W Loop 1604 N, San Antonio, Tx 78254","Patio Pavers; Cleanup Good",,,"",,,,"",""
27,"Byron Morales","Home Repair & Trades",Handyman,"Byron Morales",2107449933,,"","","Many Jobs, Fair Price",,,"",,,,"",""
28,"C&M Heating And Cooling","Home Repair & Trades","Hvac, Air Conditioning, Heating","Cory Wade",2105564280,,http://cmrepairstexas.com/,"San Antonio, Tx 78253","",,,"",,,,"",""
29,"Cali Nails","Beauty Wellness","Nail Salon",Tina,2106889995,,https://cali-nails4san-antonio.edan.io/,"5511 W Loop 1604 N Suite #103, San Antonio, Tx 78253","",,,"",,,,"",""
30,"Caliber Collision","Auto Services","Auto Repair","",8884610010,,https://www.caliber.com/find-a-location/cac-san-antonio-alamo-ranch,"11720 Culebra Rd. San Antonio, Tx 78253","",,,"",,,,"",""
31,"Carol Bertsch","Legal Services","Elder Law","Carol Bertsch",2103728011,,https://www.assistingseniors.com/,"8703 Broadway, San Antonio, Tx 78217","Elder Resources Expert",,,"",,,,"",""
32,"Ceja Handyman","Home Repair & Trades",Handyman,"",2103647268,,https://cejahandyman.com,"","",,,"",,,,"",""
33,"Champion Fence","Landscaping Trees Lawn Services",Fencing,"",2104901441,,"","15114 Jones Maltsberger Rd, San Antonio, Tx 78247","",,,"",,,,"",""
34,"Coco Nail Bar","Beauty Wellness","Nail Salon",Mary,2104765159,,https://coconailbartexas.com/,"","",,,"",,,,"",""
35,"Comet Cleaners","Personal Services","Dry Cleaning Laundry","",2106276010,,https://cometsatx.com/locations/,"11026 Culebra Rd. Suite 113
San Antonio, Tx 78253","",,,"",,,,"",""
36,"Cornerstone Automotive","Auto Services","Auto Repair","",2106882000,,https://www.cornerstoneautomotive.com/,"11030 Culebra Road San Antonio, Texas, 78254","",,,"",,,,"",""
37,"Covert Dental","Health Care",Dental,"Dr. John Covert",2105438400,,https://covertdental.com/,"7701 Tezel Rd, San Antonio, Tx 78250","",,,"",,,,"",""
38,"D. Kay’S Plumbing Solutions","Home Repair & Trades",Plumbing,Eloy,2105735865,,https://www.facebook.com/saplumbing01/,"5630 Timberhurst, San Antonio, Tx, United States, Texas","",,,"",,,,"",""
39,Damien,"Financial Tax Services","Tax Help",Clutch,,,"","","",,,"",,,,"",""
40,"Danny Wilks","Home Repair & Trades","Sheetrock Repair","",2108234027,,"","","",,,"",,,,"",""
41,"Dav Roofing And Construction","Home Repair & Trades",Roofing,Scott,8304815650,,https://davroofing.com/,"","",,,"",,,,"",""
42,"Davey Tree Expert Company","Landscaping Trees Lawn Services","Tree Removal","",2106980515,,https://www.davey.com/residential-tree-services/local-offices/san-antonio-tree-service,"24175 Boerne Stage Rd, San Antonio, Tx 78225","Isa Arborists",,,"",,,,"",""
43,"David Huron","Personal Services",Upholstery,"David Huron",2108857765,,https://budgetupholstery.com,"","Very Pleased",,,"",,,,"",""
